Brand Name,Product Name,Colour,Price,Currency,Product ID,URL
Nike Running,Nike Running - Legend React - Baskets - Noir et blanc,Noir,100.0,EUR,1345709,nike-running/nike-running-legend-react-baskets-noir-et-blanc/prd/10599421?clr=noir&colourWayId=15128692
Nike Running,Nike Running - Air Zoom Pegasus  - Baskets - Noir et blanc,Noir,119.99,EUR,1302575,nike-running/nike-running-air-zoom-pegasus-baskets-noir-et-blanc/prd/10091765?clr=noir&colourWayId=15093385
Nike Running,Nike Running - Free Run Flyknit - Baskets - Noir,Pink foam,129.99,EUR,1345699,nike-running/nike-running-free-run-flyknit-baskets-noir/prd/10599413?clr=pink-foam&colourWayId=15129094
Nike Running,Nike Running - Epic React - Baskets - Noir et doré,Noir,149.99,EUR,1302582,nike-running/nike-running-epic-react-baskets-noir-et-dore/prd/10092092?clr=noir&colourWayId=15093978
Nike Running,Nike Running - Epic React Flyknit - Baskets - Gris et noir,Blanc/noir,150.0,EUR,1385545,nike-running/nike-running-epic-react-flyknit-baskets-gris-et-noir/prd/11090513?clr=blanc-noir&colourWayId=16285521
Nike Running,Nike Running - Vapormax 19 - Baskets en maille - Noir,Noir,189.99,EUR,1385688,nike-running/nike-running-vapormax-19-baskets-en-maille-noir/prd/11090949?clr=noir&colourWayId=16285534
Nike Running,Nike Running - Vapormax Flyknit - Baskets - Noir,Noir/blanc/argenté,209.99,EUR,1385680,nike-running/nike-running-vapormax-flyknit-baskets-noir/prd/11090958?clr=noir-blanc-argente&colourWayId=16285537
Nike Running,Nike Running - Vapormax Flyknit - Baskets - Noir et rose,Laser fuchsia/orange,235.99,EUR,1385682,nike-running/nike-running-vapormax-flyknit-baskets-noir-et-rose/prd/11090969?clr=laser-fuchsia-orange&colourWayId=16285614
Nike Training,Nike Training - Flex - Baskets - Noir,Noir/blanc-anthracite,55.99,EUR,1387171,nike-training/nike-training-flex-baskets-noir/prd/11109929?clr=noir-blanc-anthracite&colourWayId=16285596
Nike Training,Nike Training - Free TR 9 - Baskets - Noir,Anthracite,69.49,EUR,1344067,nike-training/nike-training-free-tr-9-baskets-noir/prd/10580998?clr=anthracite&colourWayId=15127851
Nike Training,Nike Training - Flex - Baskets - Noir,Noir,69.99,EUR,1201469,nike-training/nike-training-flex-baskets-noir/prd/9010950?clr=noir&colourWayId=15253153
Nike Training,Nike Training - Tr Flyknit - Baskets - Violet,Greysummit white,83.49,EUR,1344077,nike-training/nike-training-tr-flyknit-baskets-violet/prd/10580993?clr=greysummit-white&colourWayId=15127400
Nike Training,Nike Training - Air Zoom Fearless - Baskets - Noir et orange,Black/univ gold-lase,130.0,EUR,1387183,nike-training/nike-training-air-zoom-fearless-baskets-noir-et-orange/prd/11109919?clr=black-univ-gold-lase&colourWayId=16277042
Public Desire,Public Desire - Blend - Baskets chunky effet trempé - Noir,Noir/noir,41.99,EUR,1442669,public-desire/public-desire-blend-baskets-chunky-effet-trempe-noir/prd/11859828?clr=noir-noir&colourWayId=16369545
Puma,Puma Training - Jaab XT - Baskets - Noir,Puma noir puma blanc,47.99,EUR,1358103,puma/puma-training-jaab-xt-baskets-noir/prd/10751213?clr=puma-noir-puma-blanc&colourWayId=16334090
